ticket_id,channel,resolution_minutes
TKT-1450,email,36.6
TKT-1691,email,27.2
TKT-0268,phone,82.0
TKT-0273,phone,114.2
TKT-0921,chat,209.0
TKT-0757,chat,43.9
TKT-1473,email,32.6
TKT-1048,chat,55.7
TKT-1626,email,63.9
TKT-0254,phone,142.7
TKT-1190,chat,53.4
TKT-1701,email,123.3
TKT-0061,phone,84.9
TKT-0589,phone,98.3
TKT-1496,email,74.7
TKT-1569,email,276.4
TKT-0248,phone,103.3
TKT-1558,email,63.0
TKT-0146,phone,83.9
TKT-1778,email,254.3
TKT-0885,chat,56.2
TKT-0540,phone,102.9
TKT-1537,email,61.8
TKT-0291,phone,114.8
TKT-1548,email,89.9
TKT-0699,chat,100.1
TKT-1388,email,35.3
TKT-0434,phone,97.8
TKT-1499,email,34.7
TKT-0217,phone,82.3
TKT-1246,email,50.1
TKT-0310,phone,99.7
TKT-1530,email,144.8
TKT-1441,email,34.7
TKT-0077,phone,94.9
TKT-1543,email,137.4
TKT-1622,email,65.4
TKT-0986,chat,187.6
TKT-0569,phone,75.3
TKT-0124,phone,67.8
TKT-1494,email,49.2
TKT-0915,chat,60.8
TKT-0414,phone,76.2
TKT-0940,chat,51.0
TKT-0382,phone,104.3
TKT-0081,phone,75.1
TKT-0193,phone,92.0
TKT-0821,chat,92.1
TKT-1239,email,28.1
TKT-0451,phone,95.0
TKT-1198,chat,67.8
TKT-0183,phone,63.6
TKT-1552,email,34.1
TKT-1343,email,48.3
TKT-1454,email,129.3
TKT-1040,chat,127.4
TKT-0556,phone,79.4
TKT-1783,email,80.7
TKT-0460,phone,101.2
TKT-0300,phone,76.7
TKT-1478,email,64.4
TKT-0864,chat,94.4
TKT-0309,phone,103.8
TKT-0389,phone,116.7
TKT-1371,email,118.3
TKT-1679,email,31.4
TKT-0225,phone,115.1
TKT-0306,phone,102.6
TKT-0412,phone,88.0
TKT-1165,chat,81.4
TKT-0941,chat,72.3
TKT-0076,phone,95.4
TKT-0623,chat,174.5
TKT-1637,email,134.2
TKT-0565,phone,82.5
TKT-1684,email,88.0
TKT-0755,chat,38.4
TKT-1757,email,29.1
TKT-1676,email,118.2
TKT-1285,email,31.5
TKT-0572,phone,111.7
TKT-1169,chat,108.7
TKT-0242,phone,107.7
TKT-1324,email,115.6
TKT-1229,email,34.2
TKT-1063,chat,44.3
TKT-1395,email,35.2
TKT-0763,chat,155.4
TKT-1402,email,54.4
TKT-0995,chat,93.3
TKT-0051,phone,87.6
TKT-0819,chat,125.5
TKT-1516,email,65.8
TKT-1061,chat,44.9
TKT-1624,email,41.5
TKT-1779,email,69.7
TKT-0216,phone,140.0
TKT-0539,phone,77.3
TKT-1250,email,153.6
TKT-0934,chat,60.2
TKT-0443,phone,88.9
TKT-1739,email,128.7
